statement,label
Oiyaaa vlive at 3 o'clock huh?,0
"Usually, if you're restless for a long time, surely after that something will happen or not",1
"Oh yeah, for those who don't know what the problem is, then you guys are curious, don't press for fun on the sb ""Ni-ki bvlly"" :)",0
"Some make you anxious, some make you worry so you can't even think about what this is–",1
"Yes, that's it, don't judge book by cover... What's more about dictation and dududu law",0
not yet,0
Want to misuh. Misuhâ˜,0
what youtube do you watch so you don't get nervous,1
What's common with baen wis …,0
"Oh God, why am I in this house by nature angry, angry, anxious, anxious, restless, when my mouth is open, my heart is full of malice",1
lw,0
therapy ne,0
Monday's turn feels like Sunday,0
"How many days have you been feeling restless at night and in the afternoon your mind is empty, why?",1
Why are you restless at night..,1
Seems like every time I want to sleep I'm worried like I can't sleep,1
"Are you worried about what kind of pkp? His name is pkp but he's just like normal, later on, you guys watch it later #kerajaanbebal",1
"I don't like worrying, I don't like wehhh!",1
"It's already good, if you want to buy it, why don't you have an order",0
Oh god I'm restless,1
"a few days ago restless, today menses. I've just read that restlessness is a symptom of PMS. so who gave this anxiety, thesis or pms?",1
Porasonar mayre bap,1
"anchor. I dreamed of being in the same dorm as Changbin and Chan. Then I took a very long nap and was dazed. When I woke up, I saw the sky was clear. Then, I intend to go out to vlog. Then I asked Changbin ""it's morning right"" He replied ""yes"".. That's it.. Go out...",0
"Anxious, all afraid, afraid of war, afraid of economic crisis, afraid of air pollution, disease outbreaks, clean water, etc. When are you happy?",1
"Work first guys. wkwkwk, Yangvlain is already on holiday huh",0
"I'm restless, I'm languishing every night, it's really hard when I'm tired",1
"just-have you ever been let down by your best friend to the point of feeling too anxious? I don't want to talk about him here, but I feel sorry for myself. like, girl i deserve better then this.",1
I can't take any more pressure pls!,1
"restless and restless, want to be angry",1
"Break or not, edi break.",0
Wake up horny. Hahaha tara jakol f2f,0
I love you,0
"Pls want to sleep from being restless, why are you",1
"take a week off, should be for Eid, the rest is for fishing '",0
Already worried about picking up the phone,1
"As the day draws near, I'm overthinking a lot, oh my god. Calm my restless heart """,1
"…¤..Well, yes. It's Monday. My class is at nine. Come on, let's go back to sleep...ã…¤",0
I suddenly feel sick #.,0
"Want to sleep, all restless",1
"uhh! Dom Jakbar, let's cuddle tonight? M22 can host",0
I'm tired but my body is restless,1
"time goes on..days go on..at the same time my heart is getting restless and hurt...oh Allah I know you are testing me with this patience, and you are testing me with everything that happens..forgive me who is starting to weaken and lose enthusiasm for keep fighting and survive...",1
Too anxious. Too worried. Too scared,1
Restless and agitated.,1
ML X JJK ah,0
"O Allah, bring a face full of light, a calm heart and the best deeds for those who read this tweet, ameen..",0
hi. It's good luck that I'm allergic to this poor partner,0
wait wha- didn't expect to meet woiðŸ˜,0
"""And establish prayer and pay zakat..."" (Qur'an 2:110)",0
sad,0
Is there something that makes me nervous,1
"Maybe these few days for you it's just normal or nothing, but you know what? One day feels really long for me after that happened, I always worry about what decision you want to make in the future, and when are you going to tell me that decision",1
Yoasobi's song is really good,0
What's new is always interesting but not necessarily the best,0
"Honestly, I'm really nervous",1
I like to worry tbtb,1
Jikustik - poetry .,0
"If you want to forget being angry with someone, remember the kindness.",0
"I can only hope, even though I'm worried if it starts like this....",1
"Eid is coming soon, God.",0
Nananananana,0
"The Talibanization of the KPK or the infiltration of the KPK by radical groups. However, when there was a question about not using qunut as an indication of radicalism and the Taliban, there were several NU intellectual figures who criticized it, even the chairman of PBNU criticized it.",0
"I can't sleep, I'm so restless thinking about the future @ @",1
"Restless, heart pounding. Fix anxious again :)",1
Mama eto pera kan life e,1
Can't sleep restless,1
anyone using nick daye kh? gosh it's been too long for my lrp.,0
Oh god I'm so worried,1
"This downloaded song can disappear by itself, magic cake, how's the story already",0
"btw nutmeg I always get dizzy when I wake up, plus I feel restless after spending personal money for school fees huft",1
Have you ever been in the third person? How does it feel? Sick? Oh really!,0
Hi I just woke up,0
"One by one the family (women) who were almost the same age as Mama died. and the average below mama. starting to worry.....hope you are always healthy, ma ™",1
"He picked my name, suddenly said I was playing victim ..Gosh. Have you met the new prey to gaslight and groom there?..Abusive men are dangerous. Abusive men who suddenly know the vocab social justice is even worse. Be careful everyone and block liberally.",0
"I can't stop, my nutmeg pops up eyes that I have to look at when I'm anxious",1
why did I feel so nervous earlier?,1
"I'm not feeling very good this morning, I'm really worried ”",1
JA JA JA F POR EL JYP AHHHH,0
really worried but i don't know why,1
"Exam on Saturday. Saturday's Starting Presentation..On Going: CT.Place CSE Dept. .Assignments….AND UNTIL NOW CLEAR CATIA TRAINING 2 PRODUCTS HAHAHAHA.. awesome, still in sleep mode, but I'm nervous, haha",1
"People say that life revolves, one day we will feel pleasure and pain. So make sure your sadness now is your happiness later",0
umami mami mami this heart is restless,1
"I'm getting more and more restless, and I'm crying as much as I can, and they just look at me crying, and they say, don't worry, sis, it's okay, you're okay here, you just need to rest, what do you want, just say it, we'll follow your request, except for 1 i.e. run away, you'll know later",1
"wake up restless, want to sleep restless",1
Ni-ki is handsome,0
"I'm lazy to work, if I often feel anxious",1
"Good morning, good people, if anyone wants it......",0
"dizzy, restless, shaking so one solid buddy",1
"So you're dating just for prestige, huh? It's better to be single, if that's the way to play, okay?",0
ai ai esse jay do enhypenkk..ðŸ'”,0
Just found out there's a season 2 for girl from nowhere,0
"Don't worry Sil, don't",1
"I just want to pass, there are so many obstacles « I'm so tired guyssss I want to rest for a while but I can't seem nervou",1
Alhamdulillah!,0
getting restless «,1
"It's been about 5 years (mid 2016) for the last time I felt this feeling of anxiety and lack of motivation. Now it appears again. Oh my God, what should I do..",1
"I need adit not for stalking or for strange things because I myself have started to learn not to stalk just because I'm afraid that mental disorders will get worse even though I still feel anxious and afraid if I don't stalk, I can hold it so that Adit doesn't feel disturbed",1
Today's roadblock has brought us to talk.. ahahahahaha but still arrived at the office early 40 minutes …,0
Happy 15th debut anniversary Lee Min Ho oppaâ Lisianthus flower dedicated to minoz,0
"Hey, it's raining, we're in a hurry, looking for shelter when we got it. I said why are we looking for shelter, he said, he said he didn't want me to get sick because it was raining.",0
Feeling restless is the worst thing .ever.,1
jyp hizo el maradona challenge fua un grande,0
Ang init punyeta.,0
I want to exhale the restlessness in my chest with my breath,1
"I'm the type who never wants to be complicated with my crush/doi, I'm going out with anyone or chatting with anyone, I think it's a waste of time if it's really you that he wants, he won't do that, okay, wow.",0
WHAT'S WRONG DOG A,0
"I swear I was happy this time, eh, tbtb, I was immediately sad, afraid, worried, mixed:""",1
Why do you feel traumatized and lazy to be in that moment and be in that place â excessive anxiety,1
why are you so nervous have mixed feelings,1
Sometimes I don't understand how Syafiq can consistently praise I'm beautiful...ðŸ˜ŒðŸ˜ŒðŸ˜Œ,0
"It's true, it's okay to say it's too late just because of that yes, that's all, but it really makes stress and anxiety uncontrollably ",1
"Yes, the point is that I feel tired, sad, annoyed, restless. It's like the feeling is mixed in my heart and mind, in my brain I'm traveling various things from problems to happiness that I've felt until this moment.",1
kenjaku yknow whatðŸ¤¤ðŸ¤²ðŸ,0
"Adf-my does anyone know why I am here? I've been feeling restless since yesterday, like worrying/worrying too much, suddenly feeling sad, just scared. But I also don't know why",1
"Bestie rent empty today rep yu, need friends who want to hear my story",0
what is kombekkkkk?,0
lately it's fun to see people get the ratio jerp,0
Chintay matha betha kortece,1
"I like to be grateful, don't you think, if you stay away from a guy, then not long after that he's updated and he's got a new girl WKWK maybe he feels handsome but I feel really bad about it hah you move so fast, it's a good thing I'm with you <3",0
"Why is Agmin so funny, it's a pity that the people are also divided, it's better to just shut up, don't go anywhere. Better to talk about pigs or dogs",0
riftan is dangerous,0
Want to stay at Peggy Gou's house,0
"I just arrived in Bintulu country, I haven't met my family yet. there's been a poke threat. danger",0
"It's morning, but I'm nervous, what's going on?",1
"I want to fry tofu, when I see it in the pan I think it's oil, the tofu is sugar water . so this is sweet tofu",0
"If your heart is sad and no one listens to your worries, just come to Allah, he will understand what's in your heart...",1
"The default bat is restless, I don't know why",1
Dream again hehehe happyâ,0
"""You are my son, and with the power of the Kyuubi you will rebuild Konoha!"" (Minato Namikaze)",0
"finished for the heart's intention to watch the series, I even thought about it. I'm worried",1
I'm most worried when my mom is sick.,1
"It's been a few days when I sleep by default I'm afraid, restless, nervous, feel alone, sometimes my breath is really heavy.....why is that... like I'm afraid of being restless, oh my God",1
"I'm really restless when I just wake up, I feel like I immediately get bad thoughts and it's really every day",1
"Lebaran soon it's good for us to forgive each other, if we love each other I can't because I already have Na Jaemin ™ !",0
"When no one wakes you up in the morning, when no one waits for you to sleep at night, when you can do whatever you want as you please. What are these things called freedom or loneliness?",0
"When the heart is sad, restless and filled with despair, remember that only to God do we complain.",1
Toma na pepekinha,0
"So often restless in the middle of the night but for no reason, why is this",1
"How to make old people realize that working underpaid under 'gov' vs good salary in 'private sector' actually have pros and cons? Please explain later, with the current situation.",0
crazy fast wednesday already takbiran,0
AFTER 1000 PURNAMA FINALLY THE DOSPEM REPLYED THE CHAT. ADH MO MAMPUS,0
"I wonder why my heart beats like that sometimes for weeks, then it's back to normal for a few weeks, does anyone know why this isn't it? Or maybe I'm often anxious and stressed, okay?",1
I don't know why he's so restless today,1
7 in the morning 3 neighboring children have screamed loudly like crazy pigs on the balcony next to my room. damn cam,0
Don't worry about it,1
"Tired of working too, not fasting",0
Why is this feeling uneasy? I consider my manager like my own mother even though the age difference is only a year older. ..Or am I interested in the motherly soul huh,1
"The brain is now full of stressful thoughts. I feel like I'm about to explode, nervous, sad, scared, all mixed into one",1
"If you are able to be grateful for what God has given you, you will not worry about what is not yours",1
"It's gonna be a long day, I'm still wearing a t-shirt on Monday. Oh my GodðŸ¥²",0
The mall is busy.. .The market is busy.. .The streets are busy.. ..But the mosque is getting quiet.. ..The creatures want Eid..,0
"Early in the morning, after the duck ride, I want to share this CPO chart, it looks interesting #chart #mbahnasip",0
He da kanka,0
I've become a babu ANJRITT after this,0
kill seventeen CB in June …â˜,0
"Have you ever felt like you're sad but you're not sad, you feel like you're nervous but you don't know what you're confused about, you just want to sleep but you can't",1
morning!,0
Dilemma. confused. restless... what should I do tomorrow... //,1
"Wow, haven't had time to read the dict©",0
Get out,1
Jibeom@sadsfsgdhjfkfl,0
if all idols in the world could be free of bucin like hyuna n hyojong ahhhhh how beautifull this world gonna be,0
"Me: *Confused about choosing sandals A or sandals B for Eid (One is cheaper, the other is prettier)*..My mother, no burden: Just take both, I'm so dizzy..Grandpa, OH MY GOD, IT'S MOST SATISFIED TO SHOPPING WITH MOM I HUHU I HAVE SUGAR MOMMYðŸ˜",0
"This is an imported eta ship, it's just right for the takbiran night, oh my God, on the H-1 of Eid I'm still working wkwkwkwk..",0
BY GOD I'M STILL WORRY.,1
controlling excessive anxiety,1
"guys, how do you not get triggered easily? tl I'm still sad, I'm sad too... now I feel nervous and anxious, I want to cry.",1
"no one knows the strategy, just follow it, it's really hard",0
"Don't worry, your story is written by the best screenwriter",1
panic,0
"It turns out that being too far from God is difficult, isn't it? The heart is restless, and everything becomes restless.",1
"I'm sorry, guys, I didn't help drop the template, I've already helped you with the link. but if you want to drop the template here, ok~ lia wants to rest first, yes, it's still early but after taking the medicine, so I want to rest first.. here, drop the tmplt brother, if you want",0
"Tonight I'm so nervous huhu what's wrongðŸ˜""",1
"don't say ""without jungkook eren it won't be trending again""..#EREN",0
"Just for Eid this year, I'm a little worried about the template questions that people often complain about. Oops, what's the answer?",1
Dikta has Nadhira. Jeno is mine.ðŸ˜¼â˜,0
"Ok congrats my money is flying for Taemin ™ƒ want to be sad, do you want to be happy",0
"I'm so nervous, what's going on :(",1
been the most anxious before being the most sincere,1
Emotional when PMS is motivated by insecurity which also increases due to these hormones. I don't know why I will feel anxious about many things for no reason even if there is a reason it's just too much to say ™ƒðŸ™ƒðŸ™ƒ,1
"Come on, just speak Malay today",0
"How do you not think about negative things and don't get anxious easily, how do you want to live calmly without thinking every minute that you shouldn't be thinking about it..",1
"I'm so nervous I swear, the views are getting slower",1
"""Friend"" I'm fine. I don't want mom and dad sadeeuuu hehe",0
"POWERBANK VIORA 5600 125K, 8400 155K, 12000MA 220K. RESELLER MUCH CHEAPER ADD PIN 32A834AB / 08891047101",0
"Ouch, why does my stomach hurt so much, how full is this –",0
Sunday calm but restless ©,1
uhh! Anyone interested in joining the Telegram group? special chi,0
I give up!,0
"Bismillah, hopefully the sin is worth it",0
ni-ki best boy,0
"AJHSHAJ fell asleep while zooming in and the teacher asked him to answer the questions, my sister hit him with a pillow ' » luckily I can",0
Very restless can't sleep ™,1
"Oh no I'm restless. The time will come. I walk with Jesus. Then my heart is calm.. Every time I sing a song I don't know, tomorrow in this section I always want to cry . Because I sing it but I don't do it . Sorry God I worry too much ️",1
"If my friends have replied to my tweet that has an opinion, I'm worried",1
"The older you get, the more lazy you are to express your feelings. It's not genuine.",0
"Sleeps 3 hours, rest restless. Try a variety of positions and ways never fall asleep. I really need to be able to control this mind.",1
-/-/- 02:30 7psx F,0
ND MG BAHY IS BLONDEHRHF,0
"I don't feel good, I'm not calm, I'm just restless :( let's do a lot of dhikr",1
Morning '•. What scorpion partner? Yup that's right he is a scorpion queen °,0
I haven't left for work at this hour ™ƒ,0
Will be mother-in-law & Mr. in law sporting bad,0
"FEAR, GIVE UP, WORRY, YES HOW YES???",1
Do you play Zepeto? Let's be mutual? Just drop your id <3,0
I'm the one who doesn't go to school. Tell me to pay spp.,0
"Fwb, how do you calm a restless heart? It's not a boy problem. I'm f20",1
don't worry yet :),1
Because this worry is you.,1
Mere wangu yaaraðŸ'”. Kakh rahe na teraâŒ›,0
"Restless restlessness accompanied, hoping someone would understand, wishing he wasn't here.",1
"You guys want to take the vaccine if you want to cut the line. At that time, he met a friend who made borax, he must have entered the line. Just make people sip. It's hot",0
"It's really annoying, my friend uses to remember all my assignments, where after I'm finished I'm told to collect Ahelah I'm so tired I need to ask questions",0
it's so cute ',0
Why are you so restless,1
I am fucking tired of everything,1
why are you so worried,1
"There are people who died, their friends didn't support them, they even asked ""have a congenital disease?"" ❤",0
"every night overthinking, anxious, nervous..every time I do activities that I don't like, I always feel nauseous and have stomachaches. sometimes if you think too much it gives you a headache :(",1
Why are you so nervous ²,1
Very restless huh,1
Good morning world,0
"Did you ever read it when you read it to RL, I mean the atmosphere, the taste. It's because I'm like this. when I read au, the topic was about mental illness ™ my days became restless....and now I'm scared.",1
"FY! follower? but i'm nsfw, just rt, jfb ok",0
"Ya Allah, just woke up dreaming that Ms. Ade was struggling with the devil at the old house. wake up wake up being told to make scientific workâ",0
"DOGGGGGGG. PLS PLS PLS ALREADY HAVE 7 YEARS OF OLD CRUSH, AND THIS IS THE FIRST TIME HE MUJI & LIKE MY PHOTOS. ..AAAAAAAAAAAAAAANG WHY YES.",0
very restless,1
"Why be afraid of pain when all of our feelings can be created!.. There will always be calm, on the sidelines of anxiety waiting to subside...",1
"If I worry about people, my chest always hurts. Please don't worry :(",1
MATARIA POR UNA PIZZA MUZARELA,0
"a little anxious, a lot afraid",1
"Since the pandemic, I haven't opened my laptop for a day, I feel restless, I have a very heavy life load",1
why use the limit event?,0
3 more days,0
"I hope that with 1.71 million sellers of Dreamies, SM will open their eyes to see the potential of Dreamies and not waste it anymore",0
very nervous,1
"Why is it, every time you want to do something, you get nervous..",1
"I'm so nervous, why?",1
"Every night sometimes I feel like my heart is empty, restless, I don't know what to do",1
"@ SM , already like this still want to underestimate dreamies? .It's really bad if it's still ok. Hopefully the eyes of his heart will be more open if the power of dreamies is really that strong",0
restless and agitated,1
a little restless. a little restless. always feel guilty. sorry if i can't be the best as i've been :',1
How do you stop being stupid?,0
"I've been so restless all day, why is it even though there's nothing... calm after praying, after that, I'm restless again",1
hw hw hw hw hw auu this leave hw gnya kn d for nda msa kn knw this leave bnr th,0
Be the most sincere person not a good person because in kindness it is not necessarily sincerity.,0
luckily mom thought I was just commenting with bing ahahahaha °,0
I'm starting to worry,1
-/-/- 23:40 8psx H,0
"Finally able to breath & eat after taking Miko to see the doctor. Moreover, the condition is not as serious as the other doctor thought...I thought that my anxiety disorder was serious too.. I panicked about the situation & Miko's condition until this afternoon couldn't think + nausea + wanted to throw up. Almost panic attack",1
"When will the dog grow teeth, it hurts so much",0
Go to hell,1
Confused since yesterday feeling restless but don't know what to worry about,1
It's too lazy if every day the default is constantly restless for no reason,1
Wekura chimolaaAaAAAaA,0
oh my sad,0
Where do you buy fireworks? Want to play fireworks at night takbiran,0
tired and restless,1
"hi patient, have a good day, frandaaa <3",0
On twitter I worship,0
Since then I was restless to the point of choking. What's wrong?,1
typing while crying & very worried,1
SABAR MANDI DULU BARU MAU HYPE,0
the cycle; make wl â€“ got â€“ haven't arrived home yet i don't have a crush,0
the trending is 7l instead of 71 wkwkwk,0
Feeling restless inside,1
Why is teams so bad?,0
"I have finished all my tasks from yesterday, but why is this heart restless? feel like something bad is coming?! ......",1
"I feel scared, anxious, what can I do? And may my family or us be protected :)",1
"hng, why are you so nervous :(",1
"Is this my day off?""",0
"This time, just lie down at the camping site until it opens",0
como q murio jyp,0
yanfeiâ â â,0
"The kebab through this is delicious. The way to cook it is simple, but you get the half kebab stuffed with compressed meat. Satisfied with eating. Vegetable pound is not crunchy. Cucumber with carrots only. Eat half and cup water pound already full. Below rm10 even if you want to walk at uptown time, there's no money.",0
yoo hello,0
"If you are stuck sleeping at 11am until set 12. If you are more than that, you will be anxious, why are you?”",1
sleep but restless. understand?,1
AKHSSHSGGSGSGSSGSG DEG AN VERY DEG AJDGSHSGGSGSGS,0
Ma Ma Ma Ma Mafia huh?,0
hlt! why do i like to be nervous tbtb keep worrying so much that i sweat,1
"Always worried about the future, even though today has not changed.",1
I'm hungry sis,0
this morning's class is horrible €ðŸ™ »,0
"It's possible to win 4 matches continuously, but if the rest of the matches City have to lose, it's a bit tough. Draw wae wes champion",0
"Maybe that's the phase, in your 20s, you feel like you're just living like this, it's like you haven't done anything yet, overthinking future problems has made you so anxious.",1
"It's really strange, every time you enter a new circle, there are people who say they are not guarded, even though you just met, instead of giving a good impression, it makes people mentally down. No matter how joking you are, you can't match people's feelings.",0
Vai exam eto kharap hoice,1
I am restless but in You is Peace,1
so it's like this.. the authors never wanted to post or chat but when rereading it cringe gt.. i'm afraid the readers won't like it... i'm wb + not very confident... i'm restless... hhhhh,1
It's true what Seungwoo said... Byungchan at home likes to take off his clothes....,0
Fuck the life,1
cheers sis beeell!!,0
"If your boyfriend has the courage to introduce you to his friends, there are 2 possibilities.",0
"The question is, what ointment do you use to get rid of itching scars?",0
Finally got a day off,0
"Crazy dreamies, really cute",0
"""How fat"". Yes indeed, so why? ™ƒ",0
"faced with extraordinary emotions, stagnation and anxiety but it is forbidden to remove it. very bad situation.",1
Still can't fast with mom </3,0
"Be wise in speech. Don't say something you can't take back because scars last longer than ""sorry""",0
"If the guy is sick, the girl actually feels sick indirectly. He must be feeling restless and restless. :')",1
"I feel so restless, why?",1
Why is this guy so restless,1
"Anxiety continues every month, especially when you're out of the house",1
sleep really restless duh don't like it,1
"I don't know if I'm bored of chatting, if you want to call, it's okay, I'll pick up",0
"# Suggest a song that makes you calm, don't know why suddenly this feeling of anger / restlessness appears. Thanks!",1
I'm so proud of Dreamies â â˜¹ï¸,0
So when the time comes I won't be surprised anymore and won't be overly disappointed. I lowered my expectations amidst the many possibilities. That I undo because I know and self-aware. Now I shouldn't be nervous anymore right? But why am I still not ready?,1
"If I'm honest, I've been nervous since that day even though I said it wasn't....",1
"I thought my life would be empty. I just remembered that .chuang 2021: are you a werewolf? ..it's really not playing, the fan service is Chuang . I'm very satisfied",0
"To be honest, even rich people think I'm lying. Clumsy and anxious",1
"I'm nervous but I don't know why, it's really not that good, I've been nervous. Hope all is well",1
"From now on, it's not really good, being restless is tired by nature",1
I'm the only one who's nervous.,1
Ni-ki template dong,0
It's a habit from elementary school if I think about something I'll get worried I can't sleep,1
duhh why am I worried tbtb,1
"If you're blank and restless, your typing will be random",1
I mean I'm so dizzy,0
"I had to be firm about the problem, rather than worry about the thought of her torturing me.",1
Why every morning I want to sleep I'm restless,1
I can't help but take a long time at work,0
you know you're restless,1
"Do you know? My chest is tight, anxious, I want to cry but when I cry, the tears don't come out. Heheheh.....",1
"Sorry if I'm too selfish, sorry again sorry and sorry",0
"Sis, I asked for the insert kit.",0
"Oh, I like to be anxious all of a sudden, why are you",1
"Don't worry about what you did yesterday, it's enough to be happy if you are able to accept it all.",1
this is still a licking lick thing hahaha,0
Time to read the thread,0
"O Allah, make it easy for our family to have sustenance. give us enough sustenance from you",0
"I'm tired, aren't I, lately I've been nervous about something, I want to hurry up and wait for the time to come and then it's over huh '‹",1
Km never,0
"scared, worried, I don't know, it's all mixed up",1
I'm so dizzy taking care of inheritance ',0
rip legend,0
"nctn! Is there anyone who will restock the reusable cup js or not, will there be a budget later because huhu:"") or can someone book a small slot, pay right away, thanks",0
I beg you not to touch my account again.,0
accompany me like that dogggg:(.hdhhh,0
WANT TO HOLIDAY BUT MY LECTURER GIVES A TASK...it doesn't feel right,0
"I don't know this poor person, people are busy protesting this!!",0
"Damn, it's raining heavily accompanied by restlessness that hit",1
The whole day feels restless,1
"Some days I'm very restless when I want to sleep. When you go to sleep, you don't realize anything, why are people fainting",1
"I'm confused when I've finished something, what's next? I feel like everything is already there, but what's missing? The default is restless",1
I'm also looking for new moots ”,0
Bm seafood. There is no seafood in the Tembalang area,0
very nervous :'),1
"What's wrong I'm worried, oh I hope it's okay",1
"I don't know if you stay still and then check your own fleet, you will definitely smile like an orgil »â€ â™€ï¸",0
"prolonged stress, overthinking, can't sleep, want to cry, restless, just lethargic :(",1
I'm so worried why yh.,1
very nervous gatenanggg asdmekendd,1
restless eh,1
"restless and emotional like PMS again, even though it's over. it doesn't feel very comfortable. kesenggol stik wants to cry. – istighfar a lot",1
I'm a bit scared and nervous...,1
Dreamies that CB I'm excited about,0
"trouble sleeping, confused mind, restless heart. All out of tune",1
"After mopping, I have to gasp for air, the house is really big, and then I have to move to get a small house, I thought I'd be complaining, let alone me",0
Very restless bgsd,1
Change battery,0
"Ah, I want to tell you, I'm tired and suddenly panicked and thought about it. It really interferes with the activity. Especially now, UTS. It's been a long time, and it always bothers me, if it's like this, I can only cry. I hate sudden panic and anxiety because it's hard to think",1
The combination of anxiety and anxiety gives me a terrible headache..,1
Long bet dh,0
Make it invisible,0
"hi, looking for mutuals to create hype gg! wizone, ketchy, linus, once, daileee, swith, lightsum stan freepass. so what are you waiting for? let's mutualan gaskeeeeun!! help rt/like, thanks... rep if you want fb ;)",0
3G.. anxious and restless,1
Asked to sunbathe,0
Why so much pressure?,1
"Look at SM, how big is the potential for dreamies, just be careful if you waste it again w getok",0
"When the swaddle is gone, hand & her legs look restless & nervous",1
Monday feels Sunday,0
Why are you so worried since yesterday...,1
"Because there's no sleep, I can only sleep at 7 o'clock in the morning but I wake up at 8 o'clock... Then I can't sleep again until the afternoon just sleeps for only half an hour.... At 00.55 I suddenly feel restless, short of breath, & I want to cry.. why am I here again ' even though I'm not thinking about anything anymore",1
"I want to ask, have you ever been worried about the things you like? Even because you really like it, you feel like it's a part of your life. But every time you do or remember it you get worried. What do you think you should do? :(",1
"Happiness and sadness move in one door, no need to worry about this life process.",1
start pulling back his trust,0
Can you hurry up a bit,0
Gente???? Essa ultima capa de jujutsu???? Hmmm ksjdksndksndkdndkx,0
why do you feel comfortable sitting on the floor for hours.,0
tsunami dream do,0
Is there still an account with Gojo's countdown coming out of the gas box? wkwkwk what if they post gojo clay cover jjk vol 16 AHAHAHAHAHAHAHA,0
